Time,PPG
12.6888213333333,-2.51629
12.6896213333333,-2.53115
12.6904213333333,-2.546
12.6912213333333,-2.56084
12.6920213333333,-2.57566
12.6928213333333,-2.59044
12.6936213333333,-2.60519
12.6944213333333,-2.61988
12.6952213333333,-2.63451
12.6960213333333,-2.64907
12.6968213333333,-2.66354
12.6976213333333,-2.67791
12.6984213333333,-2.69217
12.6992213333333,-2.7063
12.7000213333333,-2.72029
12.7008213333333,-2.73412
12.7016213333333,-2.74778
12.7024213333333,-2.76126
12.7032213333333,-2.77453
12.7040213333333,-2.78758
12.7048213333333,-2.80039
12.7056213333333,-2.81294
12.7064213333333,-2.82522
12.7072213333333,-2.8372
12.7080213333333,-2.84886
12.7088213333333,-2.86018
12.7096213333333,-2.87115
12.7104213333333,-2.88173
12.7112213333333,-2.8919
12.7120213333333,-2.90165
12.7128213333333,-2.91094
12.7136213333333,-2.91976
12.7144213333333,-2.92807
12.7152213333333,-2.93586
12.7160213333333,-2.9431
12.7168213333333,-2.94976
12.7176213333333,-2.95582
12.7184213333333,-2.96125
12.7192213333333,-2.96602
12.7200213333333,-2.97011
12.7208213333333,-2.9735
12.7216213333333,-2.97615
12.7224213333333,-2.97803
12.7232213333333,-2.97913
12.7240213333333,-2.9794
12.7248213333333,-2.97884
12.7256213333333,-2.97739
12.7264213333333,-2.97504
12.7272213333333,-2.97176
12.7280213333333,-2.96751
12.7288213333333,-2.96227
12.7296213333333,-2.956
12.7304213333333,-2.94868
12.7312213333333,-2.94028
12.7320213333333,-2.93076
12.7328213333333,-2.92011
12.7336213333333,-2.90829
12.7344213333333,-2.89528
12.7352213333333,-2.88106
12.7360213333333,-2.8656
12.7368213333333,-2.84889
12.7376213333333,-2.8309
12.7384213333333,-2.81161
12.7392213333333,-2.791
12.7400213333333,-2.76907
12.7408213333333,-2.74579
12.7416213333333,-2.72114
12.7424213333333,-2.69512
12.7432213333333,-2.66772
12.7440213333333,-2.63891
12.7448213333333,-2.6087
12.7456213333333,-2.57708
12.7464213333333,-2.54404
